"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.IdentityHashMap.get (Object)","0.780 ms (0%)","0.747 ms (0.1%)","1.28 ms (0%)","1.23 ms (0%)","395"
"java.lang.Math.addExact (long, long)","0.701 ms (0%)","0.736 ms (0.1%)","0.701 ms (0%)","0.736 ms (0%)","1,336"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.714 ms (0%)","0.735 ms (0.1%)","1.11 ms (0%)","1.7 ms (0%)","1,860"
"java.lang.String.lastIndexOf (int)","0.773 ms (0%)","0.731 ms (0.1%)","3.85 ms (0%)","3.25 ms (0%)","1,485"
"java.lang.System.allowSecurityManager ()","0.767 ms (0%)","0.731 ms (0.1%)","0.767 ms (0%)","0.731 ms (0%)","6,259"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState (int, int)","0.704 ms (0%)","0.718 ms (0.1%)","0.704 ms (0%)","0.718 ms (0%)","1,372"
"java.lang.Long.numberOfTrailingZeros (long)","0.667 ms (0%)","0.714 ms (0.1%)","1.5 ms (0%)","1.4 ms (0%)","1,053"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease (int)","1.25 ms (0%)","0.709 ms (0.1%)","1.25 ms (0%)","0.709 ms (0%)","1,373"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.684 ms (0%)","0.700 ms (0.1%)","1.11 ms (0%)","1.5 ms (0%)","1,485"
"java.util.Collections$UnmodifiableCollection$1.next ()","0.752 ms (0%)","0.690 ms (0.1%)","2.15 ms (0%)","2.7 ms (0%)","1,634"
"java.net.URL.getURLStreamHandler (String)","0.728 ms (0%)","0.690 ms (0.1%)","2.46 ms (0%)","2.25 ms (0%)","1,123"
"java.lang.StringConcatHelper.newArray (long)","0.690 ms (0%)","0.685 ms (0.1%)","1.84 ms (0%)","1.74 ms (0%)","1,860"
"java.util.HashMap$Values.iterator ()","0.679 ms (0%)","0.683 ms (0.1%)","0.679 ms (0%)","0.683 ms (0%)","942"
"jdk.internal.util.ArraysSupport.newLength (int, int, int)","0.580 ms (0%)","0.664 ms (0.1%)","0.880 ms (0%)","0.888 ms (0%)","880"
"org.springframework.samples.petclinic.vet.VetController.showVetList (int, org.springframework.ui.Model)","0.647 ms (0%)","0.654 ms (0.1%)","1,824 ms (11.4%)","346 ms (5%)","2"
"java.lang.String.lastIndexOf (int, int)","0.686 ms (0%)","0.647 ms (0.1%)","2.3 ms (0%)","1.88 ms (0%)","1,485"
"java.net.URLStreamHandler.getDefaultPort ()","0.654 ms (0%)","0.631 ms (0%)","0.654 ms (0%)","0.631 ms (0%)","5,423"
"java.time.zone.ZoneRules.findTransitionArray (int)","0.638 ms (0%)","0.628 ms (0%)","3.54 ms (0%)","3.20 ms (0%)","246"
"jdk.internal.misc.VM.isSystemDomainLoader (ClassLoader)","0.849 ms (0%)","0.615 ms (0%)","3.49 ms (0%)","3.11 ms (0%)","2,284"
"java.lang.String.indexOf (String, int)","0.616 ms (0%)","0.608 ms (0%)","2.72 ms (0%)","2.61 ms (0%)","1,087"
"java.lang.ClassLoader.getBuiltinPlatformClassLoader ()","0.623 ms (0%)","0.578 ms (0%)","0.889 ms (0%)","0.860 ms (0%)","2,277"
"java.time.LocalDate.compareTo0 (java.time.LocalDate)","0.544 ms (0%)","0.543 ms (0%)","0.544 ms (0%)","0.543 ms (0%)","774"
"java.lang.String.replace (char, char)","0.544 ms (0%)","0.534 ms (0%)","2.53 ms (0%)","2.44 ms (0%)","591"
"java.net.URL.isBuiltinStreamHandler (String)","1.10 ms (0%)","0.527 ms (0%)","4.93 ms (0%)","4.20 ms (0.1%)","2,200"
"java.util.Collections$EmptySet.iterator ()","0.528 ms (0%)","0.526 ms (0%)","0.744 ms (0%)","0.741 ms (0%)","1,277"
"java.util.LinkedHashMap$LinkedHashIterator.hasNext ()","0.515 ms (0%)","0.525 ms (0%)","0.515 ms (0%)","0.525 ms (0%)","1,144"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext (java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.536 ms (0%)","0.524 ms (0%)","0.536 ms (0%)","0.524 ms (0%)","1,081"
"jdk.internal.loader.URLClassPath.getLoader (int)","0.560 ms (0%)","0.522 ms (0%)","1.38 ms (0%)","1.34 ms (0%)","1,213"
"java.lang.StringBuilder.length ()","0.516 ms (0%)","0.515 ms (0%)","0.516 ms (0%)","0.515 ms (0%)","1,450"
"java.time.LocalDate.ofInstant (java.time.Instant, java.time.ZoneId)","0.523 ms (0%)","0.507 ms (0%)","3.2 ms (0%)","2.98 ms (0%)","84"
"java.time.LocalTime.ofNanoOfDay (long)","0.523 ms (0%)","0.506 ms (0%)","1.36 ms (0%)","1.35 ms (0%)","238"
"java.util.Hashtable.get (Object)","0.528 ms (0%)","0.497 ms (0%)","1.72 ms (0%)","1.56 ms (0%)","1,123"
"java.util.concurrent.ConcurrentHashMap$ValuesView.iterator ()","0.446 ms (0%)","0.482 ms (0%)","0.733 ms (0%)","0.737 ms (0%)","139"
"java.time.temporal.TemporalAdjusters.nextOrSame (java.time.DayOfWeek)","0.747 ms (0%)","0.482 ms (0%)","0.909 ms (0%)","0.632 ms (0%)","2"
"java.lang.String.compareTo (Object)","0.526 ms (0%)","0.476 ms (0%)","4.42 ms (0%)","3.80 ms (0.1%)","490"
"java.nio.Buffer.session ()","0.474 ms (0%)","0.470 ms (0%)","0.474 ms (0%)","0.470 ms (0%)","3,616"
"java.lang.StringConcatHelper.stringOf (Object)","0.413 ms (0%)","0.464 ms (0%)","0.417 ms (0%)","0.470 ms (0%)","2,562"
"java.lang.String.substring (int)","0.478 ms (0%)","0.457 ms (0%)","27.2 ms (0.2%)","2.97 ms (0%)","1,163"
"java.util.Arrays.copyOf (byte[], int)","0.413 ms (0%)","0.456 ms (0%)","0.575 ms (0%)","0.589 ms (0%)","724"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.442 ms (0%)","0.441 ms (0%)","0.585 ms (0%)","0.574 ms (0%)","48"
"java.util.Collections$UnmodifiableCollection.iterator ()","0.461 ms (0%)","0.420 ms (0%)","1.6 ms (0%)","1.2 ms (0%)","708"
"java.lang.ref.ReferenceQueue.headIsNull ()","0.444 ms (0%)","0.417 ms (0%)","0.444 ms (0%)","0.417 ms (0%)","1,629"
"java.lang.Class.getPackageName ()","0.389 ms (0%)","0.407 ms (0%)","1.21 ms (0%)","1.21 ms (0%)","425"
"java.util.TimeZone.getDefaultRef ()","0.396 ms (0%)","0.403 ms (0%)","0.396 ms (0%)","0.403 ms (0%)","561"
"java.util.LinkedHashMap.linkNodeLast (java.util.LinkedHashMap.Entry)","0.359 ms (0%)","0.402 ms (0%)","0.359 ms (0%)","0.402 ms (0%)","1,021"
"java.net.URL.set (String, String, int, String, String, String, String, String)","0.370 ms (0%)","0.398 ms (0%)","0.370 ms (0%)","0.398 ms (0%)","2,200"
"java.net.URLClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.396 ms (0%)","0.395 ms (0%)","84.3 ms (0.5%)","62.4 ms (0.9%)","45"
"java.lang.Character.isWhitespace (int)","0.388 ms (0%)","0.393 ms (0%)","0.866 ms (0%)","0.872 ms (0%)","746"
"java.util.LinkedHashMap$LinkedHashIterator.nextNode ()","0.402 ms (0%)","0.392 ms (0%)","0.402 ms (0%)","0.392 ms (0%)","718"
"java.lang.ref.NativeReferenceQueue.poll ()","0.354 ms (0%)","0.377 ms (0%)","0.500 ms (0%)","0.504 ms (0%)","627"
"java.util.concurrent.ConcurrentHashMap$Traverser.advance ()","0.325 ms (0%)","0.360 ms (0%)","0.696 ms (0%)","0.691 ms (0%)","349"
"jdk.internal.misc.Unsafe.allocateUninitializedArray0 (Class, int)","0.362 ms (0%)","0.358 ms (0%)","0.362 ms (0%)","0.358 ms (0%)","1,860"
"java.lang.Character.isLetter (int)","0.389 ms (0%)","0.351 ms (0%)","1.49 ms (0%)","1.40 ms (0%)","1,123"
"java.time.LocalDateTime.plusSeconds (long)","0.334 ms (0%)","0.350 ms (0%)","3.82 ms (0%)","3.78 ms (0.1%)","238"
"java.lang.Character.isLetter (char)","0.386 ms (0%)","0.350 ms (0%)","1.88 ms (0%)","1.75 ms (0%)","1,123"
"java.lang.StringBuilder.append (String)","0.324 ms (0%)","0.343 ms (0%)","3.26 ms (0%)","3.16 ms (0%)","359"
"jdk.internal.util.Preconditions.checkIndex (int, int, java.util.function.BiFunction)","0.448 ms (0%)","0.340 ms (0%)","0.448 ms (0%)","0.340 ms (0%)","1,740"
"java.time.zone.ZoneRules.getOffset (java.time.Instant)","0.340 ms (0%)","0.339 ms (0%)","3.2 ms (0%)","2.70 ms (0%)","93"
"java.lang.ClassLoader.loadClass (String, boolean)","0.337 ms (0%)","0.338 ms (0%)","650 ms (4.1%)","356 ms (5.1%)","48"
"java.util.zip.InflaterInputStream.fill ()","0.541 ms (0%)","0.337 ms (0%)","0.741 ms (0%)","0.513 ms (0%)","49"
"java.util.LinkedHashMap.removeEldestEntry (java.util.Map.Entry)","0.334 ms (0%)","0.335 ms (0%)","0.334 ms (0%)","0.335 ms (0%)","757"
"java.time.LocalDate.now (java.time.Clock)","0.331 ms (0%)","0.332 ms (0%)","4.23 ms (0%)","4.17 ms (0.1%)","84"
"jdk.internal.util.Preconditions.checkFromIndexSize (int, int, int, java.util.function.BiFunction)","0.355 ms (0%)","0.331 ms (0%)","0.355 ms (0%)","0.331 ms (0%)","1,350"
"java.lang.AbstractStringBuilder.newCapacity (int)","0.335 ms (0%)","0.330 ms (0%)","0.833 ms (0%)","0.811 ms (0%)","614"
"java.lang.Integer.numberOfTrailingZeros (int)","0.367 ms (0%)","0.330 ms (0%)","0.367 ms (0%)","0.330 ms (0%)","1,053"
"jdk.internal.loader.ClassLoaders.platformClassLoader ()","0.289 ms (0%)","0.330 ms (0%)","0.289 ms (0%)","0.330 ms (0%)","2,535"
"java.lang.StringLatin1.indexOf (byte[], byte[])","0.290 ms (0%)","0.318 ms (0%)","0.810 ms (0%)","0.821 ms (0%)","1,151"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.317 ms (0%)","0.317 ms (0%)","2.66 ms (0%)","2.42 ms (0%)","114"
"java.util.LinkedHashMap.get (Object)","0.291 ms (0%)","0.314 ms (0%)","1.4 ms (0%)","1.1 ms (0%)","470"
"java.time.zone.ZoneRules.findYear (long, java.time.ZoneOffset)","0.294 ms (0%)","0.308 ms (0%)","0.524 ms (0%)","0.526 ms (0%)","93"
"java.lang.reflect.Array.newInstance (Class, int)","0.280 ms (0%)","0.304 ms (0%)","0.280 ms (0%)","0.304 ms (0%)","530"
"java.util.TreeMap.fixAfterInsertion (java.util.TreeMap.Entry)","0.302 ms (0%)","0.298 ms (0%)","0.464 ms (0%)","0.468 ms (0%)","24"
"java.lang.Integer.equals (Object)","0.270 ms (0%)","0.297 ms (0%)","0.270 ms (0%)","0.297 ms (0%)","418"
"java.util.ArrayList.toArray (Object[])","0.287 ms (0%)","0.293 ms (0%)","0.786 ms (0%)","0.781 ms (0%)","225"
"java.lang.StringConcatHelper.checkOverflow (long)","0.291 ms (0%)","0.285 ms (0%)","0.291 ms (0%)","0.285 ms (0%)","2,484"
"java.util.LinkedHashMap$LinkedKeyIterator.next ()","0.268 ms (0%)","0.278 ms (0%)","0.424 ms (0%)","0.410 ms (0%)","291"
"java.lang.CharacterDataLatin1.isWhitespace (int)","0.258 ms (0%)","0.277 ms (0%)","0.387 ms (0%)","0.376 ms (0%)","790"
"java.util.RegularEnumSet$EnumSetIterator.next ()","0.221 ms (0%)","0.268 ms (0%)","0.538 ms (0%)","0.561 ms (0%)","684"
"java.time.LocalDate.toEpochDay ()","0.262 ms (0%)","0.264 ms (0%)","0.546 ms (0%)","0.535 ms (0%)","122"
"java.util.LinkedHashMap.afterNodeAccess (java.util.HashMap.Node)","0.251 ms (0%)","0.263 ms (0%)","0.251 ms (0%)","0.263 ms (0%)","337"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.267 ms (0%)","0.262 ms (0%)","22.4 ms (0.1%)","0.409 ms (0%)","345"
"java.util.concurrent.CopyOnWriteArrayList.size ()","0.244 ms (0%)","0.255 ms (0%)","0.244 ms (0%)","0.255 ms (0%)","1,399"
"java.util.LinkedHashMap$LinkedEntryIterator.next ()","0.307 ms (0%)","0.253 ms (0%)","0.684 ms (0%)","0.622 ms (0%)","256"
"sun.net.www.ParseUtil.encodePath (String, boolean)","0.316 ms (0%)","0.251 ms (0%)","70.1 ms (0.4%)","64.2 ms (0.9%)","1,078"
"java.util.LinkedHashMap$LinkedValueIterator.next ()","0.260 ms (0%)","0.249 ms (0%)","0.396 ms (0%)","0.383 ms (0%)","171"
"sun.net.util.IPAddressUtil.earlyURLParsing ()","0.258 ms (0%)","0.249 ms (0%)","0.258 ms (0%)","0.249 ms (0%)","2,200"
"java.lang.Character.isWhitespace (char)","0.257 ms (0%)","0.246 ms (0%)","1.12 ms (0%)","1.11 ms (0%)","746"
"java.time.Clock.systemDefaultZone ()","0.230 ms (0%)","0.245 ms (0%)","1.14 ms (0%)","1.11 ms (0%)","84"
"java.time.LocalDate.create (int, int, int)","0.249 ms (0%)","0.243 ms (0%)","0.249 ms (0%)","0.243 ms (0%)","240"
"java.util.Objects.checkFromIndexSize (int, int, int)","0.172 ms (0%)","0.242 ms (0%)","0.265 ms (0%)","0.292 ms (0%)","740"
"java.lang.ClassLoader.findLoadedClass (String)","0.224 ms (0%)","0.240 ms (0%)","0.790 ms (0%)","0.768 ms (0%)","141"
"org.springframework.samples.petclinic.owner.PetController.initOwnerBinder (org.springframework.web.bind.WebDataBinder)","0.255 ms (0%)","0.239 ms (0%)","0.738 ms (0%)","0.698 ms (0%)","12"
"java.time.ZoneId.systemDefault ()","0.246 ms (0%)","0.238 ms (0%)","0.907 ms (0%)","0.868 ms (0%)","84"
"java.util.HashMap$EntryIterator.next ()","0.179 ms (0%)","0.237 ms (0%)","0.287 ms (0%)","0.309 ms (0%)","684"
"java.util.LinkedHashMap$LinkedKeySet.iterator ()","0.217 ms (0%)","0.235 ms (0%)","0.217 ms (0%)","0.235 ms (0%)","356"
"java.lang.AbstractStringBuilder.append (int)","0.229 ms (0%)","0.235 ms (0%)","0.386 ms (0%)","0.396 ms (0%)","127"
"java.util.LinkedHashMap$LinkedEntryIterator.next ()","0.235 ms (0%)","0.235 ms (0%)","0.374 ms (0%)","0.360 ms (0%)","256"
"java.lang.Integer.compare (int, int)","0.236 ms (0%)","0.232 ms (0%)","0.236 ms (0%)","0.232 ms (0%)","442"
"java.util.Locale.getDefault ()","0.213 ms (0%)","0.231 ms (0%)","0.213 ms (0%)","0.231 ms (0%)","1,286"
"java.lang.StringLatin1.compareToCI (byte[], byte[])","0.253 ms (0%)","0.231 ms (0%)","0.858 ms (0%)","0.858 ms (0%)","45"
"java.time.LocalDate.ofEpochDay (long)","0.227 ms (0%)","0.230 ms (0%)","0.551 ms (0%)","0.535 ms (0%)","84"
"java.time.LocalDate.now ()","0.225 ms (0%)","0.229 ms (0%)","5.63 ms (0%)","5.53 ms (0.1%)","84"
"java.util.TimeZone.getDefault ()","0.237 ms (0%)","0.229 ms (0%)","0.584 ms (0%)","0.568 ms (0%)","84"
"java.util.IdentityHashMap.nextKeyIndex (int, int)","0.216 ms (0%)","0.229 ms (0%)","0.216 ms (0%)","0.229 ms (0%)","605"
"jdk.internal.loader.BuiltinClassLoader.loadClass (String, boolean)","0.217 ms (0%)","0.221 ms (0%)","6.17 ms (0%)","6.11 ms (0.1%)","48"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.247 ms (0%)","0.221 ms (0%)","1.84 ms (0%)","1.72 ms (0%)","89"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.236 ms (0%)","0.219 ms (0%)","4.87 ms (0%)","4.82 ms (0.1%)","93"
"java.lang.Math.floorDiv (long, int)","0.195 ms (0%)","0.218 ms (0%)","0.295 ms (0%)","0.300 ms (0%)","177"
"java.nio.ByteBuffer.position (int)","0.189 ms (0%)","0.215 ms (0%)","0.295 ms (0%)","0.274 ms (0%)","777"
"org.springframework.samples.petclinic.model.NamedEntity.toString ()","0.215 ms (0%)","0.213 ms (0%)","0.215 ms (0%)","0.213 ms (0%)","142"
"java.nio.DirectLongBufferU.get (int)","0.206 ms (0%)","0.207 ms (0%)","0.479 ms (0%)","0.486 ms (0%)","180"
"java.lang.Class.getComponentType ()","0.190 ms (0%)","0.203 ms (0%)","0.190 ms (0%)","0.203 ms (0%)","813"
"java.util.LinkedHashMap.keySet ()","0.197 ms (0%)","0.201 ms (0%)","0.197 ms (0%)","0.201 ms (0%)","356"
"java.util.concurrent.ConcurrentLinkedQueue.add (Object)","0.193 ms (0%)","0.200 ms (0%)","1.83 ms (0%)","1.70 ms (0%)","113"
"java.lang.ClassLoader.checkName (String)","0.178 ms (0%)","0.199 ms (0%)","0.820 ms (0%)","0.797 ms (0%)","234"
"java.util.ImmutableCollections$List12.toArray ()","0.188 ms (0%)","0.196 ms (0%)","0.188 ms (0%)","0.196 ms (0%)","200"
"java.util.RegularEnumSet$EnumSetIterator.next ()","0.208 ms (0%)","0.195 ms (0%)","0.748 ms (0%)","0.756 ms (0%)","684"
"java.util.HashMap.containsKey (Object)","0.197 ms (0%)","0.195 ms (0%)","0.837 ms (0%)","0.818 ms (0%)","278"
"java.util.WeakHashMap.put (Object, Object)","0.190 ms (0%)","0.193 ms (0%)","0.431 ms (0%)","0.424 ms (0%)","51"
"java.time.LocalTime.toNanoOfDay ()","0.182 ms (0%)","0.188 ms (0%)","0.182 ms (0%)","0.188 ms (0%)","238"
"java.time.LocalDateTime.with (java.time.LocalDate, java.time.LocalTime)","0.184 ms (0%)","0.186 ms (0%)","0.184 ms (0%)","0.186 ms (0%)","238"
"java.util.logging.LogManager$LoggerContext$1.run ()","0.202 ms (0%)","0.186 ms (0%)","0.366 ms (0%)","0.348 ms (0%)","1"
"org.springframework.samples.petclinic.owner.Owner.getPet (Integer)","0.192 ms (0%)","0.183 ms (0%)","0.314 ms (0%)","0.314 ms (0%)","18"
"java.time.ZoneRegion.getRules ()","0.156 ms (0%)","0.183 ms (0%)","0.156 ms (0%)","0.183 ms (0%)","246"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.175 ms (0%)","0.182 ms (0%)","0.480 ms (0%)","0.473 ms (0%)","90"
"java.util.Collections$UnmodifiableMap.get (Object)","0.174 ms (0%)","0.180 ms (0%)","0.811 ms (0%)","0.801 ms (0%)","186"
"java.lang.ClassLoader.getDefinedPackage (String)","0.170 ms (0%)","0.177 ms (0%)","0.667 ms (0%)","0.653 ms (0%)","89"
"java.util.concurrent.ConcurrentHashMap.casTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node, java.util.concurrent.ConcurrentHashMap.Node)","0.159 ms (0%)","0.176 ms (0%)","0.159 ms (0%)","0.176 ms (0%)","263"
"java.time.LocalDate.isLeapYear ()","0.185 ms (0%)","0.176 ms (0%)","0.276 ms (0%)","0.264 ms (0%)","122"
"java.nio.DirectLongBufferU.put (int, long)","0.154 ms (0%)","0.176 ms (0%)","0.414 ms (0%)","0.387 ms (0%)","180"
"java.util.concurrent.ConcurrentHashMap.putIfAbsent (Object, Object)","0.158 ms (0%)","0.175 ms (0%)","23.7 ms (0.1%)","1.62 ms (0%)","314"
"java.lang.StringConcatHelper.initialCoder ()","0.152 ms (0%)","0.172 ms (0%)","0.152 ms (0%)","0.172 ms (0%)","1,215"
"java.util.HashMap$EntryIterator.next ()","0.196 ms (0%)","0.170 ms (0%)","0.489 ms (0%)","0.479 ms (0%)","684"
"java.lang.StringConcatHelper.newString (byte[], long)","0.200 ms (0%)","0.168 ms (0%)","0.200 ms (0%)","0.168 ms (0%)","1,242"
"org.springframework.samples.petclinic.owner.PetController.initCreationForm (org.springframework.samples.petclinic.owner.Owner, org.springframework.ui.ModelMap)","0.177 ms (0%)","0.167 ms (0%)","0.556 ms (0%)","0.491 ms (0%)","3"
"java.util.zip.ZipFile.getEntry (String)","0.159 ms (0%)","0.165 ms (0%)","0.678 ms (0%)","0.671 ms (0%)","90"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.162 ms (0%)","0.164 ms (0%)","0.703 ms (0%)","0.676 ms (0%)","45"
"java.util.IdentityHashMap$EntrySet.iterator ()","0.159 ms (0%)","0.163 ms (0%)","0.159 ms (0%)","0.163 ms (0%)","58"
"java.util.TreeMap.put (Object, Object, boolean)","0.170 ms (0%)","0.160 ms (0%)","1.6 ms (0%)","1.5 ms (0%)","38"
"java.util.concurrent.ConcurrentHashMap$ValueIterator.next ()","0.124 ms (0%)","0.159 ms (0%)","0.558 ms (0%)","0.573 ms (0%)","201"
"java.time.LocalDate.plusDays (long)","0.158 ms (0%)","0.154 ms (0%)","0.158 ms (0%)","0.154 ms (0%)","240"
"java.time.LocalTime.create (int, int, int, int)","0.162 ms (0%)","0.151 ms (0%)","0.162 ms (0%)","0.151 ms (0%)","238"
"sun.util.calendar.ZoneInfo.clone ()","0.135 ms (0%)","0.149 ms (0%)","0.273 ms (0%)","0.271 ms (0%)","84"
"java.util.RegularEnumSet.add (Enum)","0.129 ms (0%)","0.147 ms (0%)","0.194 ms (0%)","0.195 ms (0%)","255"
"java.util.HashMap$ValueIterator.next ()","0.108 ms (0%)","0.145 ms (0%)","0.167 ms (0%)","0.184 ms (0%)","102"
"java.util.IdentityHashMap$EntryIterator.next ()","0.123 ms (0%)","0.144 ms (0%)","0.178 ms (0%)","0.183 ms (0%)","53"
"java.security.AccessController.executePrivileged (java.security.PrivilegedAction, java.security.AccessControlContext, Class)","0.155 ms (0%)","0.142 ms (0%)","0.764 ms (0%)","0.731 ms (0%)","20"
"java.util.concurrent.ThreadLocalRandom.getProbe ()","22.1 ms (0.6%)","0.134 ms (0%)","22.1 ms (0.1%)","0.134 ms (0%)","139"
"jdk.internal.perf.PerfCounter.add (long)","0.113 ms (0%)","0.134 ms (0%)","1.15 ms (0%)","1.12 ms (0%)","180"
"java.time.Clock$SystemClock.instant ()","0.109 ms (0%)","0.130 ms (0%)","0.805 ms (0%)","0.801 ms (0%)","84"
"java.nio.Buffer$1.releaseSession (java.nio.Buffer)","0.139 ms (0%)","0.126 ms (0%)","0.200 ms (0%)","0.142 ms (0%)","91"
"java.security.AccessController.doPrivileged (java.security.PrivilegedExceptionAction, java.security.AccessControlContext)","0.119 ms (0%)","0.125 ms (0%)","643 ms (4%)","349 ms (5%)","45"
"java.util.TimeZone.clone ()","0.125 ms (0%)","0.123 ms (0%)","0.125 ms (0%)","0.123 ms (0%)","84"
"java.util.concurrent.ConcurrentHashMap.initTable ()","0.126 ms (0%)","0.121 ms (0%)","0.126 ms (0%)","0.121 ms (0%)","61"
"org.springframework.samples.petclinic.owner.Owner.getPet (String, boolean)","0.120 ms (0%)","0.119 ms (0%)","0.442 ms (0%)","0.435 ms (0%)","7"
"jdk.internal.loader.URLClassPath$JarLoader.getResource (String, boolean)","0.121 ms (0%)","0.119 ms (0%)","1.6 ms (0%)","1.5 ms (0%)","90"
"java.util.zip.InflaterInputStream.close ()","0.120 ms (0%)","0.119 ms (0%)","0.196 ms (0%)","0.194 ms (0%)","45"
"org.springframework.samples.petclinic.owner.Owner.addPet (org.springframework.samples.petclinic.owner.Pet)","0.166 ms (0%)","0.118 ms (0%)","0.250 ms (0%)","0.193 ms (0%)","10"
"java.nio.ByteBuffer.position (int)","0.089 ms (0%)","0.118 ms (0%)","0.235 ms (0%)","0.229 ms (0%)","373"
"java.lang.Boolean.valueOf (boolean)","0.135 ms (0%)","0.115 ms (0%)","0.135 ms (0%)","0.115 ms (0%)","754"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.126 ms (0%)","0.111 ms (0%)","2.35 ms (0%)","2.32 ms (0%)","45"
"java.lang.ClassLoader.checkCerts (String, java.security.CodeSource)","0.111 ms (0%)","0.110 ms (0%)","0.511 ms (0%)","0.506 ms (0%)","45"
"java.lang.Character.toLowerCase (int)","0.110 ms (0%)","0.110 ms (0%)","0.246 ms (0%)","0.243 ms (0%)","105"
"org.springframework.samples.petclinic.vet.VetController.addPaginationModel (int, org.springframework.data.domain.Page, org.springframework.ui.Model)","0.103 ms (0%)","0.108 ms (0%)","0.259 ms (0%)","0.259 ms (0%)","2"
"java.lang.ClassLoader.postDefineClass (Class, java.security.ProtectionDomain)","0.105 ms (0%)","0.108 ms (0%)","0.744 ms (0%)","0.721 ms (0%)","45"
"jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass (String, boolean)","0.114 ms (0%)","0.107 ms (0%)","6.34 ms (0%)","6.27 ms (0.1%)","48"
"java.lang.ClassLoader.definePackage (String, Module)","0.108 ms (0%)","0.107 ms (0%)","0.413 ms (0%)","0.371 ms (0%)","105"
"java.util.concurrent.ConcurrentHashMap$BaseIterator.hasNext ()","0.112 ms (0%)","0.105 ms (0%)","0.112 ms (0%)","0.105 ms (0%)","349"
"java.nio.Buffer.position (int)","0.065 ms (0%)","0.105 ms (0%)","0.065 ms (0%)","0.105 ms (0%)","777"
"java.util.IdentityHashMap$IdentityHashMapIterator.hasNext ()","0.085 ms (0%)","0.104 ms (0%)","0.085 ms (0%)","0.104 ms (0%)","111"
"java.nio.Buffer.checkIndex (int)","0.053 ms (0%)","0.104 ms (0%)","0.081 ms (0%)","0.104 ms (0%)","360"
"java.util.IdentityHashMap$EntryIterator.next ()","0.106 ms (0%)","0.102 ms (0%)","0.296 ms (0%)","0.283 ms (0%)","53"
"java.util.RegularEnumSet.iterator ()","0.083 ms (0%)","0.101 ms (0%)","0.083 ms (0%)","0.101 ms (0%)","345"
"jdk.internal.loader.BuiltinClassLoader.findLoadedModule (String)","0.090 ms (0%)","0.101 ms (0%)","0.662 ms (0%)","0.659 ms (0%)","93"
"java.security.SecureClassLoader.getProtectionDomain (java.security.CodeSource)","0.101 ms (0%)","0.101 ms (0%)","0.376 ms (0%)","0.363 ms (0%)","45"
"org.springframework.samples.petclinic.model.BaseEntity.isNew ()","0.104 ms (0%)","0.100 ms (0%)","0.104 ms (0%)","0.100 ms (0%)","84"
"org.springframework.samples.petclinic.owner.PetTypeFormatter.parse (String, java.util.Locale)","0.101 ms (0%)","0.100 ms (0%)","87.6 ms (0.5%)","84.1 ms (1.2%)","45"
"java.util.RegularEnumSet$EnumSetIterator.hasNext ()","0.088 ms (0%)","0.099 ms (0%)","0.088 ms (0%)","0.099 ms (0%)","687"
"java.time.zone.ZoneOffsetTransitionRule.createTransition (int)","0.104 ms (0%)","0.099 ms (0%)","1.25 ms (0%)","0.972 ms (0%)","2"
"java.util.ArrayDeque.pollFirst ()","0.096 ms (0%)","0.099 ms (0%)","0.129 ms (0%)","0.137 ms (0%)","98"
"org.springframework.samples.petclinic.owner.PetController.initPetBinder (org.springframework.web.bind.WebDataBinder)","0.106 ms (0%)","0.096 ms (0%)","0.179 ms (0%)","0.174 ms (0%)","12"
"java.lang.ClassLoader.preDefineClass (String, java.security.ProtectionDomain)","0.093 ms (0%)","0.096 ms (0%)","0.862 ms (0%)","0.835 ms (0%)","45"
"java.lang.Character.toLowerCase (char)","0.086 ms (0%)","0.096 ms (0%)","0.339 ms (0%)","0.347 ms (0%)","105"
"java.net.URLClassLoader$1.run ()","0.100 ms (0%)","0.094 ms (0%)","643 ms (4%)","349 ms (5%)","45"
"java.lang.ref.Cleaner$1.apply (Object)","0.120 ms (0%)","0.094 ms (0%)","0.173 ms (0%)","0.170 ms (0%)","290"
