"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.springframework.samples.petclinic.owner.OwnerController.processCreationForm (org.springframework.samples.petclinic.owner.Owner, org.springframework.validation.BindingResult, org.springframework.web.servlet.mvc.support.RedirectAttributes)","6.47 ms (0.2%)","6.29 ms (0.5%)","14.3 ms (0.1%)","13.9 ms (0.2%)","1"
"java.lang.String.substring (int, int)","5.98 ms (0.2%)","5.84 ms (0.5%)","64.3 ms (0.4%)","17.1 ms (0.2%)","8,155"
"java.lang.String.hashCode ()","6.32 ms (0.2%)","5.75 ms (0.4%)","8.52 ms (0.1%)","7.84 ms (0.1%)","17,598"
"java.lang.ref.Reference.refersToImpl (Object)","6.15 ms (0.2%)","5.73 ms (0.4%)","6.15 ms (0%)","5.73 ms (0.1%)","11,896"
"java.lang.String.regionMatches (boolean, int, String, int, int)","6.70 ms (0.2%)","5.68 ms (0.4%)","45.8 ms (0.3%)","19.3 ms (0.3%)","7,872"
"java.util.ArrayList.grow (int)","5.71 ms (0.1%)","5.51 ms (0.4%)","9.29 ms (0.1%)","9.5 ms (0.1%)","4,603"
"java.lang.CharacterDataLatin1.getProperties (int)","5.45 ms (0.1%)","5.30 ms (0.4%)","5.45 ms (0%)","5.30 ms (0.1%)","33,083"
"java.lang.AbstractStringBuilder.append (char)","5.42 ms (0.1%)","5.17 ms (0.4%)","37.0 ms (0.2%)","9.59 ms (0.1%)","2,592"
"org.springframework.samples.petclinic.owner.PetController.processUpdateForm (org.springframework.samples.petclinic.owner.Pet, org.springframework.validation.BindingResult, org.springframework.samples.petclinic.owner.Owner, org.springframework.ui.ModelMap, org.springframework.web.servlet.mvc.support.RedirectAttributes)","6.9 ms (0.2%)","5.6 ms (0.4%)","10.0 ms (0.1%)","9.1 ms (0.1%)","2"
"java.lang.Math.min (int, int)","4.92 ms (0.1%)","4.79 ms (0.4%)","4.92 ms (0%)","4.79 ms (0.1%)","11,173"
